Folder,Islet,Glucose,Capillaries,Avg_Total_Oxygen,Avg_Medium_Oxygen,Num_Cells,Num_Alpha,Num_Beta,Num_Delta,Avg_Cell_Oxygen,Avg_Alpha_Oxygen,Avg_Beta_Oxygen,Avg_Delta_Oxygen,Functional_Prop,Hypoxic_Prop,Non_Viable_Prop,Functional_Alpha_Prop,Hypoxic_Alpha_Prop,Non_Viable_Alpha_Prop,Functional_Beta_Prop,Hypoxic_Beta_Prop,Non_Viable_Beta_Prop,Functional_Delta_Prop,Hypoxic_Delta_Prop,Non_Viable_Delta_Prop
H53_50_capilares_G6_Rep_1,H53,G6,50,21.6417,22.1473,3222,1523,1082,617,6.832942178770956,6.4927602757714995,6.445479759704248,8.352117828200974,0.30415890751086283,0.45934202358783366,0.23649906890130354,0.2895600787918582,0.47734734077478663,0.2330925804333552,0.2828096118299446,0.4463955637707948,0.2707948243992606,0.37763371150729336,0.4376012965964344,0.1847649918962723
H53_5_capilares_G20_Rep_1,H53,G20,5,9.0227,9.3741,3222,1523,1082,617,0.3392589075108622,0.20578745896257397,0.43776210720887293,0.49597941653160454,0.0074487895716946,0.11018001241464928,0.8823711980136562,0.001969796454366382,0.09520682862770848,0.9028233749179252,0.012014787430683918,0.10720887245841035,0.8807763401109058,0.012965964343598054,0.15235008103727715,0.8346839546191248
H52_5_capilares_G6_Rep_1,H52,G6,5,7.1713,7.4184,2252,1461,427,364,0.9146226909413855,0.7313575633128001,0.8994042154566755,1.6680530219780216,0.02886323268206039,0.18383658969804617,0.7873001776198935,0.022587268993839837,0.15058179329226556,0.8268309377138946,0.02576112412177986,0.19672131147540983,0.7775175644028103,0.057692307692307696,0.3021978021978022,0.6401098901098901
H54_100_capilares_G6_Rep_1,H54,G6,100,25.6066,25.9756,3516,2209,961,346,14.631775739476678,13.82827673155275,15.52419521331947,17.282972832369946,0.6652445961319682,0.30802047781569963,0.026734926052332197,0.6328655500226347,0.33770937075599816,0.029425079221367133,0.6992715920915713,0.2736732570239334,0.027055150884495317,0.7774566473988439,0.2138728323699422,0.008670520231213872
H53_200_capilares_G6_Rep_1,H53,G6,200,28.2478,28.4188,3222,1523,1082,617,21.848084450651744,20.559330728824648,22.206990573012927,24.399843760129635,0.9332712600869025,0.06455617628801986,0.0021725636250775914,0.9080761654629022,0.08995403808273145,0.001969796454366382,0.9362292051756007,0.06007393715341959,0.0036968576709796672,0.9902755267423015,0.009724473257698542,0.0
H51_200_capilares_G20_Rep_1,H51,G20,200,29.0415,29.1634,583,316,148,119,22.592696397941694,20.349212025316454,25.866469594594594,24.478600840336128,0.9571183533447685,0.04288164665523156,0.0,0.9240506329113924,0.0759493670886076,0.0,1.0,0.0,0.0,0.9915966386554622,0.008403361344537815,0.0
H55_300_capilares_G6_Rep_1,H55,G6,300,29.5115,29.573,2084,1168,642,274,27.27841693857963,26.942851113013667,27.57255747663551,28.019667518248177,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
H52_5_capilares_G20_Rep_1,H52,G20,5,6.9892,7.24,2252,1461,427,364,0.6543335701598582,0.5139364134154688,0.6762775175644024,1.1921087912087902,0.019094138543516874,0.17229129662522202,0.8086145648312612,0.014373716632443531,0.14442162902121836,0.8412046543463382,0.01639344262295082,0.18266978922716628,0.8009367681498829,0.04120879120879121,0.27197802197802196,0.6868131868131868
H56_300_capilares_G6_Rep_1,H56,G6,300,29.2435,29.3086,2841,1355,830,656,26.605034459697233,25.688492767527663,27.341127831325295,27.56685838414632,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
H56_100_capilares_G20_Rep_1,H56,G20,100,24.878,25.2041,2841,1355,830,656,15.09061334037305,11.535963025830243,18.35301939759037,18.30517759146341,0.6321717705033439,0.3505807814149947,0.017247448081661388,0.47232472324723246,0.5018450184501845,0.025830258302583026,0.7686746987951807,0.21927710843373494,0.012048192771084338,0.7896341463414634,0.20426829268292682,0.006097560975609756
H56_200_capilares_G20_Rep_1,H56,G20,200,27.8984,28.0417,2841,1355,830,656,22.46234111228441,19.629469298892968,25.311164457831318,24.709319664634133,0.889475536782823,0.11052446321717704,0.0,0.7992619926199263,0.2007380073800738,0.0,0.9734939759036144,0.02650602409638554,0.0,0.9695121951219512,0.03048780487804878,0.0
H52_300_capilares_G20_Rep_1,H52,G20,300,28.3426,28.5292,2252,1461,427,364,21.09281922735346,19.45655270362764,24.372491100702554,23.81305412087913,0.9142984014209592,0.0852575488454707,0.0004440497335701599,0.8850102669404517,0.11430527036276524,0.0006844626967830253,0.9648711943793911,0.0351288056206089,0.0,0.9725274725274725,0.027472527472527472,0.0
H56_100_capilares_G6_Rep_1,H56,G6,100,26.7207,26.9281,2841,1355,830,656,20.501205209433294,18.10857269372696,22.433041325301208,22.99906051829269,0.8595564941921858,0.13938753959873285,0.0010559662090813093,0.7845018450184502,0.2140221402214022,0.0014760147601476014,0.9313253012048193,0.06746987951807229,0.0012048192771084338,0.9237804878048781,0.07621951219512195,0.0
H53_25_capilares_G20_Rep_1,H53,G20,25,16.8221,17.3954,3222,1523,1082,617,1.5577219428926135,1.362139855548259,1.6301137707948243,1.9135461912479743,0.048727498448168836,0.3414028553693358,0.6098696461824954,0.036769533814839134,0.3703217334208798,0.592908732764281,0.054528650646950096,0.3077634011090573,0.6377079482439926,0.06807131280388978,0.32901134521880065,0.6029173419773096
H51_25_capilares_G20_Rep_1,H51,G20,25,22.2549,22.6711,583,316,148,119,6.788182504288169,5.69141360759494,7.913494594594597,8.301063025210084,0.25728987993138935,0.6861063464837049,0.05660377358490566,0.2088607594936709,0.7310126582278481,0.060126582278481014,0.27702702702702703,0.6756756756756757,0.0472972972972973,0.36134453781512604,0.5798319327731093,0.058823529411764705
H52_100_capilares_G6_Rep_1,H52,G6,100,26.3028,26.5388,2252,1461,427,364,18.305011234458245,17.02356796714577,20.258119672131155,21.15724010989011,0.8339253996447602,0.16429840142095914,0.0017761989342806395,0.7932922655715263,0.20465434633812457,0.002053388090349076,0.8899297423887588,0.10772833723653395,0.00234192037470726,0.9313186813186813,0.06868131868131869,0.0
